epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1697,1.20415,1.6093,1.16828,0.86116,0.35714,0.45209,0.29388,1.15971,1.06648,1.19701,0.000253577,0.000253577,0.000253577
2,454.521,1.13039,0.99346,1.14142,0.67804,0.43199,0.49122,0.33936,1.07889,1.0406,1.17964,0.000499814,0.000499814,0.000499814
3,497.662,1.1088,0.93459,1.1252,0.62846,0.435,0.47147,0.324,1.09076,0.94034,1.17972,0.0007359,0.0007359,0.0007359
4,540.678,1.08878,0.89617,1.13437,0.61686,0.44558,0.49378,0.33035,1.12551,0.96096,1.19368,0.000723321,0.000723321,0.000723321
5,583.812,1.08635,0.9723,1.11559,0.68788,0.44973,0.52992,0.35952,1.0542,0.84211,1.13433,0.000708095,0.000708095,0.000708095
6,627.34,1.06188,0.7923,1.10256,0.7233,0.47011,0.56033,0.39152,1.05126,0.80814,1.13619,0.000692869,0.000692869,0.000692869
7,670.864,1.02174,0.75872,1.09258,0.73299,0.4605,0.55505,0.38135,1.06106,0.81929,1.13945,0.000677643,0.000677643,0.000677643
8,714.143,1.01542,0.73013,1.08418,0.87574,0.51426,0.58218,0.41223,1.01656,0.72352,1.11268,0.000662417,0.000662417,0.000662417
9,757.521,1.01305,0.71171,1.07864,0.89667,0.52552,0.58501,0.42008,0.97908,0.6849,1.09083,0.00064719,0.00064719,0.00064719
10,801.213,0.96542,0.66979,1.05713,0.85449,0.53639,0.6275,0.44433,0.97789,0.69074,1.09268,0.000631964,0.000631964,0.000631964
11,844.753,0.96293,0.65841,1.05355,0.89069,0.54772,0.68221,0.48595,0.97232,0.63542,1.09141,0.000616738,0.000616738,0.000616738
12,888.384,0.95027,0.64494,1.04464,0.88455,0.53587,0.82161,0.57356,0.97925,0.67437,1.09196,0.000601512,0.000601512,0.000601512
13,931.977,0.92714,0.61625,1.03412,0.92951,0.544,0.84856,0.55333,0.94584,0.627,1.0786,0.000586286,0.000586286,0.000586286
14,975.294,0.91563,0.61422,1.03097,0.90699,0.53778,0.69117,0.49471,0.96038,0.62169,1.08623,0.000571059,0.000571059,0.000571059
15,1018.63,0.92032,0.59444,1.03063,0.69336,0.79901,0.86413,0.65973,0.93185,0.58745,1.07729,0.000555833,0.000555833,0.000555833
16,1062.31,0.88833,0.58661,1.02399,0.78912,0.77944,0.89847,0.64934,0.91985,0.59676,1.07265,0.000540607,0.000540607,0.000540607
17,1105.67,0.88975,0.57628,1.01677,0.74076,0.81424,0.86673,0.60678,0.93052,0.5871,1.06649,0.000525381,0.000525381,0.000525381
18,1149.2,0.8783,0.55764,1.0052,0.63123,0.86044,0.87324,0.59977,0.91391,0.56627,1.05757,0.000510155,0.000510155,0.000510155
19,1192.6,0.87252,0.55438,0.99979,0.93858,0.73194,0.89479,0.59619,0.90808,0.54332,1.04439,0.000494928,0.000494928,0.000494928
20,1236.07,0.86188,0.5391,0.99945,0.82072,0.75386,0.88546,0.60414,0.91173,0.54854,1.0522,0.000479702,0.000479702,0.000479702
21,1279.35,0.83892,0.52575,0.9973,0.82578,0.84406,0.96325,0.66688,0.88854,0.52963,1.04484,0.000464476,0.000464476,0.000464476
22,1323.23,0.84652,0.52792,0.99543,0.73195,0.87224,0.91321,0.63464,0.91025,0.54195,1.0534,0.00044925,0.00044925,0.00044925
23,1366.67,0.84466,0.51683,0.99234,0.7358,0.89682,0.94557,0.69008,0.86678,0.52563,1.02815,0.000434024,0.000434024,0.000434024
24,1408.98,0.8216,0.4968,0.97692,0.78906,0.87513,0.90861,0.68457,0.88798,0.52248,1.03643,0.000418797,0.000418797,0.000418797
25,1450.53,0.81948,0.49967,0.98113,0.92249,0.733,0.95356,0.70813,0.87277,0.51298,1.02977,0.000403571,0.000403571,0.000403571
26,1492.52,0.81585,0.49206,0.98091,0.87998,0.90314,0.92958,0.6617,0.87102,0.49902,1.03355,0.000388345,0.000388345,0.000388345
27,1534.11,0.80565,0.47836,0.97918,0.87584,0.84316,0.95515,0.73114,0.8571,0.49265,1.02404,0.000373119,0.000373119,0.000373119
28,1576.04,0.79645,0.47468,0.96183,0.78086,0.88919,0.93232,0.6261,0.85975,0.49764,1.02685,0.000357893,0.000357893,0.000357893
29,1617.61,0.78764,0.45863,0.96397,0.83808,0.88372,0.96401,0.65207,0.86153,0.48616,1.01955,0.000342666,0.000342666,0.000342666
30,1659.12,0.78008,0.46034,0.96026,0.93507,0.86396,0.94498,0.74065,0.86256,0.47949,1.02454,0.00032744,0.00032744,0.00032744
31,1700.94,0.77259,0.45447,0.95759,0.91216,0.82613,0.93029,0.71864,0.84696,0.47218,1.01472,0.000312214,0.000312214,0.000312214
32,1742.49,0.77387,0.44754,0.95502,0.93892,0.89382,0.96918,0.73376,0.8508,0.47978,1.02282,0.000296988,0.000296988,0.000296988
33,1783.85,0.76581,0.44521,0.95485,0.91604,0.85321,0.95682,0.67213,0.83974,0.4585,1.01689,0.000281762,0.000281762,0.000281762
34,1825.41,0.74665,0.42589,0.94648,0.92534,0.84831,0.95197,0.6674,0.83251,0.44855,1.0162,0.000266535,0.000266535,0.000266535
35,1867.04,0.75034,0.42251,0.94506,0.91242,0.87264,0.95155,0.65105,0.83702,0.45462,1.01878,0.000251309,0.000251309,0.000251309
36,1910.18,0.73538,0.4176,0.94873,0.93123,0.87187,0.95083,0.67651,0.83457,0.45768,1.00658,0.000236083,0.000236083,0.000236083
37,1953.59,0.72815,0.41254,0.93671,0.91767,0.86991,0.96684,0.74154,0.82762,0.44494,1.00505,0.000220857,0.000220857,0.000220857
38,1997.46,0.72168,0.40628,0.93721,0.93809,0.85782,0.96452,0.72443,0.83422,0.44146,1.01246,0.000205631,0.000205631,0.000205631
39,2040.87,0.71744,0.40284,0.93319,0.94274,0.88935,0.95818,0.71054,0.8246,0.43588,1.01022,0.000190404,0.000190404,0.000190404
40,2084.29,0.70533,0.39112,0.92863,0.84971,0.88015,0.95196,0.70492,0.82953,0.43004,1.01001,0.000175178,0.000175178,0.000175178
41,2128.41,0.68564,0.35261,0.92273,0.91591,0.90144,0.95738,0.70483,0.83367,0.43175,1.00896,0.000159952,0.000159952,0.000159952
42,2172.17,0.67888,0.35241,0.91231,0.918,0.89164,0.94701,0.7286,0.82765,0.42888,1.00401,0.000144726,0.000144726,0.000144726
