epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.32,1.20415,1.6093,1.16828,0.86116,0.35714,0.45209,0.29388,1.15971,1.06648,1.19701,0.000253577,0.000253577,0.000253577
2,88.2237,1.13039,0.99346,1.14142,0.67804,0.43199,0.49122,0.33936,1.07889,1.0406,1.17964,0.000499814,0.000499814,0.000499814
3,131.72,1.1088,0.93459,1.1252,0.62846,0.435,0.47147,0.324,1.09076,0.94034,1.17972,0.0007359,0.0007359,0.0007359
4,174.712,1.08878,0.89617,1.13437,0.61686,0.44558,0.49378,0.33035,1.12551,0.96096,1.19368,0.000723321,0.000723321,0.000723321
5,217.734,1.08635,0.9723,1.11559,0.68788,0.44973,0.52992,0.35952,1.0542,0.84211,1.13433,0.000708095,0.000708095,0.000708095
6,261.291,1.06188,0.7923,1.10256,0.7233,0.47011,0.56033,0.39152,1.05126,0.80814,1.13619,0.000692869,0.000692869,0.000692869
7,304.663,1.02174,0.75872,1.09258,0.73299,0.4605,0.55505,0.38135,1.06106,0.81929,1.13945,0.000677643,0.000677643,0.000677643
8,347.703,1.01542,0.73013,1.08418,0.87574,0.51426,0.58218,0.41223,1.01656,0.72352,1.11268,0.000662417,0.000662417,0.000662417
9,391.282,1.01305,0.71171,1.07864,0.89667,0.52552,0.58501,0.42008,0.97908,0.6849,1.09083,0.00064719,0.00064719,0.00064719
10,434.89,0.96542,0.66979,1.05713,0.85449,0.53639,0.6275,0.44433,0.97789,0.69074,1.09268,0.000631964,0.000631964,0.000631964
11,478.434,0.96293,0.65841,1.05355,0.89069,0.54772,0.68221,0.48595,0.97232,0.63542,1.09141,0.000616738,0.000616738,0.000616738
